statecd,districtID,RepVote,DemVote,Winner,Total,Name
AK0,7,142566,114596,142566,0.042172539,Don Young
AL1,0,103758,48278,103758,0.584375848,Bradley Byrne
AL2,1,113103,54692,113103,0.60971515,Martha Roby
AL3,2,103558,52816,103558,0.574463291,Mike Rogers
AL4,3,132831,0,132831,0.585481715,Robert Aderholt
AL5,4,115338,0,115338,0.585469603,Mo Brooks
AL6,5,135945,42291,135945,0.524989022,Gary Palmer
AL7,6,0,133687,133687,0.644309731,Terri A. Sewell
AR1,17,124139,63555,124139,0.370999002,Rick Crawford
AR2,18,123073,103477,123073,0.295799141,French Hill
AR3,19,151630,0,151630,0.278627829,Steve Womack
AR4,20,110789,87742,110789,0.299615059,Bruce Westerman
AZ1,8,87723,97391,97391,0.801735274,Tom O'Halleran
AZ2,9,109704,109543,109704,0.853101561,Ann Kirkpatrick
AZ3,10,46185,58192,58192,0.834873643,Raul Grijalva
AZ4,11,122560,45179,122560,0.81990251,Paul A. Gosar
AZ5,12,124867,54596,124867,0.735306716,Andy Biggs
AZ6,13,129578,70198,129578,0.743939809,David Schweikert
AZ7,14,0,54235,54235,0.860114892,Ruben Gallego
AZ8,15,128710,0,128710,0.759727563,Debbie Lesko
AZ9,16,67841,88609,88609,0.823726978,Greg Stanton
CA1,21,132052,84320,132052,0.613663326,Doug LaMalfa
CA10,30,70582,55123,70582,0.453305407,Josh Harder
CA11,31,57160,117502,117502,0.503774669,Mark DeSaulnier
CA12,32,32197,160067,160067,0.593600001,Nancy Pelosi
CA13,33,21940,168491,168491,0.635731355,Barbara Lee
CA14,34,34757,114389,114389,0.472675303,Jackie Speier
CA15,35,43148,99756,99756,0.429770522,Eric Swalwell
CA16,36,44943,46277,46277,0.547940493,Jim Costa
CA17,37,0,69561,69561,0.42487213,Ro Khanna
CA18,38,63326,133060,133060,0.42255065,Anna G. Eshoo
CA19,39,0,85888,85888,0.477516669,Zoe Lofgren
CA2,22,54400,163124,163124,0.573719736,Jared Huffman
CA20,40,0,106034,106034,0.47603279,Jimmy Panetta
CA21,41,45907,33470,45907,0.505043152,TJ Cox
CA22,42,96053,37289,96053,0.470648068,Devin Nunes
CA23,43,100317,33726,100317,0.494285778,Kevin McCarthy
CA24,44,95566,103228,103228,0.504845651,Salud Carbajal
CA25,45,60847,0,60847,0.443989171,Katie Hill
CA26,46,82653,87176,87176,0.442406153,Julia Brownley
CA27,47,51852,75728,75728,0.510526443,Judy Chu
CA28,48,0,91996,91996,0.590572025,Adam Schiff
CA29,49,17045,50096,50096,0.604793277,Tony C‡rdenas
CA3,23,71036,79224,79224,0.518768435,John Garamendi
CA30,50,45315,86568,86568,0.499797566,Brad Sherman
CA31,51,48162,51622,51622,0.531412424,Pete Aguilar
CA32,52,34053,50353,50353,0.519478515,Grace Napolitano
CA33,53,74700,108331,108331,0.436458246,Ted Lieu
CA34,54,0,44697,44697,0.718504706,Jimmy Gomez
CA35,55,0,39502,39502,0.496539731,Norma Torres
CA36,56,61457,72682,72682,0.61746733,Raul Ruiz
CA37,57,18051,96787,96787,0.638049235,Karen Bass
CA38,58,40288,58192,58192,0.53264919,Linda S‡nchez
CA39,59,91319,41906,91319,0.430056557,Gilbert Ray Jr. Cisneros
CA4,24,126784,0,126784,0.434161666,Tom McClintock
